grade,kanji,word,reading
3,悪,悪い,わるい
3,安,安い,やすい
3,安,安心,あんしん
3,暗,暗い,くらい
3,医,医者,いしゃ
3,委,委員,いいん
3,意,意味,いみ
3,育,育てる,そだてる
3,育,体育,たいいく
3,員,店員,てんいん
3,院,病院,びょういん
3,飲,飲む,のむ
3,運,運動,うんどう
3,泳,泳ぐ,およぐ
3,駅,駅,えき
3,央,中央,ちゅうおう
3,横,横,よこ
3,屋,屋根,やね
3,温,温かい,あたたかい
3,化,化ける,ばける
3,化,文化,ぶんか
3,荷,荷物,にもつ
3,界,世界,せかい
3,開,開く,あく
3,階,一階,いっかい
3,寒,寒い,さむい
3,感,感じる,かんじる
3,漢,漢字,かんじ
3,館,図書館,としょかん
3,岸,海岸,かいがん
3,起,起きる,おきる
3,期,学期,がっき
3,客,お客さん,おきゃくさん
3,究,研究,けんきゅう
3,急,急ぐ,いそぐ
3,級,学級,がっきゅう
3,宮,神宮,じんぐう
3,球,野球,やきゅう
3,去,去年,きょねん
3,橋,橋,はし
3,業,授業,じゅぎょう
3,曲,曲がる,まがる
3,局,郵便局,ゆうびんきょく
3,銀,銀行,ぎんこう
3,区,区,く
3,苦,苦い,にがい
3,具,道具,どうぐ
3,君,君,きみ
3,係,係,かかり
3,軽,軽い,かるい
3,血,血,ち
3,決,決める,きめる
3,研,研究,けんきゅう
3,県,県,けん
3,庫,車庫,しゃこ
3,湖,湖,みずうみ
3,向,向く,むく
3,幸,幸せ,しあわせ
3,港,港,みなと
3,号,番号,ばんごう
3,根,根っこ,ねっこ
3,祭,お祭り,おまつり
3,皿,お皿,おさら
3,仕,仕事,しごと
3,死,死ぬ,しぬ
3,使,使う,つかう
3,始,始める,はじめる
3,指,指,ゆび
3,歯,歯,は
3,詩,詩,し
3,次,次,つぎ
3,事,仕事,しごと
3,持,持つ,もつ
3,式,式,しき
3,実,実は,じつは
3,写,写真,しゃしん
3,者,医者,いしゃ
3,主,主人公,しゅじんこう
3,守,守る,まもる
3,取,取る,とる
3,酒,お酒,おさけ
3,受,受ける,うける
3,州,九州,きゅうしゅう
3,拾,拾う,ひろう
3,終,終わる,おわる
3,習,習う,ならう
3,集,集める,あつめる
3,住,住む,すむ
3,重,重い,おもい
3,宿,宿題,しゅくだい
3,所,場所,ばしょ
3,暑,暑い,あつい
3,助,助ける,たすける
3,昭,昭和,しょうわ
3,消,消す,けす
3,商,商店,しょうてん
3,章,文章,ぶんしょう
3,勝,勝つ,かつ
3,乗,乗る,のる
3,植,植える,うえる
3,申,申す,もうす
3,身,身長,しんちょう
3,神,神社,じんじゃ
3,真,真っすぐ,まっすぐ
3,深,深い,ふかい
3,進,進む,すすむ
3,世,世界,せかい
3,整,整理,せいり
3,昔,昔話,むかしばなし
3,全,全部,ぜんぶ
3,相,相談,そうだん
3,送,送る,おくる
3,想,予想,よそう
3,息,息,いき
3,速,速い,はやい
3,族,家族,かぞく
3,他,他の,ほかの
3,打,打つ,うつ
3,対,反対,はんたい
3,待,待つ,まつ
3,代,代わる,かわる
3,第,第一,だいいち
3,題,問題,もんだい
3,炭,炭,すみ
3,短,短い,みじかい
3,談,相談,そうだん
3,着,着る,きる
3,注,注意,ちゅうい
3,柱,柱,はしら
3,丁,丁目,ちょうめ
3,帳,手帳,てちょう
3,調,調べる,しらべる
3,追,追いかける,おいかける
3,定,予定,よてい
3,庭,庭,にわ
3,笛,笛,ふえ
3,鉄,鉄道,てつどう
3,転,転ぶ,ころぶ
3,都,都会,とかい
3,度,今度,こんど
3,投,投げる,なげる
3,豆,豆,まめ
3,島,島,しま
3,湯,お湯,おゆ
3,登,登る,のぼる
3,等,等しい,ひとしい
3,動,動く,うごく
3,童,童話,どうわ
3,農,農家,のうか
3,波,波,なみ
3,配,配る,くばる
3,倍,二倍,にばい
3,箱,箱,はこ
3,畑,畑,はたけ
3,発,出発,しゅっぱつ
3,反,反対,はんたい
3,坂,坂道,さかみち
3,板,黒板,こくばん
3,皮,皮,かわ
3,悲,悲しい,かなしい
3,美,美しい,うつくしい
3,鼻,鼻,はな
3,筆,筆箱,ふでばこ
3,氷,氷,こおり
3,表,表,ひょう
3,秒,秒,びょう
3,病,病気,びょうき
3,品,品物,しなもの
3,負,負ける,まける
3,部,部屋,へや
3,服,服,ふく
3,福,幸福,こうふく
3,物,買い物,かいもの
3,平,平和,へいわ
3,返,返す,かえす
3,勉,勉強,べんきょう
3,放,放課後,ほうかご
3,味,味,あじ
3,命,命,いのち
3,面,面白い,おもしろい
3,問,問題,もんだい
3,役,役に立つ,やくにたつ
3,薬,薬,くすり
3,由,理由,りゆう
3,油,油,あぶら
3,有,有名,ゆうめい
3,遊,遊ぶ,あそぶ
3,予,予定,よてい
3,羊,羊,ひつじ
3,洋,洋服,ようふく
3,葉,葉っぱ,はっぱ
3,陽,太陽,たいよう
3,様,様子,ようす
3,落,落ちる,おちる
3,流,流れる,ながれる
3,旅,旅行,りょこう
3,両,両手,りょうて
3,緑,緑色,みどりいろ
3,礼,お礼,おれい
3,列,列,れつ
3,練,練習,れんしゅう
3,路,道路,どうろ
3,和,平和,へいわ
