grade,kanji,word,reading
5,圧,圧力,あつりょく
5,囲,周囲,しゅうい
5,移,移る,うつる
5,因,原因,げんいん
5,永,永遠,えいえん
5,営,営業,えいぎょう
5,衛,衛生,えいせい
5,易,簡易,かんい
5,益,利益,りえき
5,液,液体,えきたい
5,演,演技,えんぎ
5,応,返事,へんじ
5,応,対応,たいおう
5,往,往復,おうふく
5,桜,桜,さくら
5,可,可能,かのう
5,仮,仮に,かりに
5,価,価格,かかく
5,河,河口,かこう
5,過,過去,かこ
5,快,快い,こころよい
5,解,解く,とく
5,格,合格,ごうかく
5,確,確かめる,たしかめる
5,額,金額,きんがく
5,刊,新刊,しんかん
5,幹,木の幹,きのみき
5,慣,習慣,しゅうかん
5,眼,眼科,がんか
5,紀,世紀,せいき
5,基,基本,きほん
5,寄,寄る,よる
5,規,規則,きそく
5,喜,喜ぶ,よろこぶ
5,技,技術,ぎじゅつ
5,義,正義,せいぎ
5,逆,逆さ,さかさ
5,久,久しぶり,ひさしぶり
5,旧,旧友,きゅうゆう
5,救,救う,すくう
5,居,居間,いま
5,許,許す,ゆるす
5,境,国境,こっきょう
5,均,平均,へいきん
5,禁,禁止,きんし
5,句,俳句,はいく
5,型,血液型,けつえきがた
5,経,経験,けいけん
5,潔,清潔,せいけつ
5,件,事件,じけん
5,険,危険,きけん
5,検,検査,けんさ
5,限,期限,きげん
5,現,現在,げんざい
5,減,減る,へる
5,故,事故,じこ
5,個,個人,こじん
5,護,保護,ほご
5,効,効果,こうか
5,厚,厚い,あつい
5,耕,耕す,たがやす
5,航,航海,こうかい
5,鉱,鉱山,こうざん
5,構,構う,かまう
5,興,興味,きょうみ
5,講,講演,こうえん
5,告,報告,ほうこく
5,混,混ぜる,まぜる
5,査,調査,ちょうさ
5,再,再び,ふたたび
5,災,火災,かさい
5,妻,妻,つま
5,採,採る,とる
5,際,国際,こくさい
5,在,在る,ある
5,財,財産,ざいさん
5,罪,犯罪,はんざい
5,殺,殺す,ころす
5,雑,雑草,ざっそう
5,酸,酸素,さんそ
5,賛,賛成,さんせい
5,士,兵士,へいし
5,支,支える,ささえる
5,史,歴史,れきし
5,志,意志,いし
5,枝,枝,えだ
5,師,先生,せんせい
5,資,資料,しりょう
5,飼,飼う,かう
5,示,指示,しじ
5,似,似る,にる
5,識,知識,ちしき
5,質,質問,しつもん
5,舎,校舎,こうしゃ
5,謝,感謝,かんしゃ
5,授,授業,じゅぎょう
5,修,修学旅行,しゅうがくりょこう
5,述,述べる,のべる
5,術,美術,びじゅつ
5,準,準備,じゅんび
5,序,順序,じゅんじょ
5,招,招く,まねく
5,証,証明,しょうめい
5,象,対象,たいしょう
5,賞,賞状,しょうじょう
5,条,条件,じょうけん
5,状,状態,じょうたい
5,常,日常,にちじょう
5,情,感情,かんじょう
5,織,組織,そしき
5,職,職業,しょくぎょう
5,制,制度,せいど
5,性,性格,せいかく
5,政,政治,せいじ
5,勢,勢い,いきおい
5,精,精一杯,せいいっぱい
5,製,製品,せいひん
5,税,税金,ぜいきん
5,責,責任,せきにん
5,績,成績,せいせき
5,接,直接,ちょくせつ
5,設,設備,せつび
5,絶,絶対,ぜったい
5,祖,祖父,そふ
5,素,素直,すなお
5,総,総理,そうり
5,造,造る,つくる
5,像,銅像,どうぞう
5,増,増える,ふえる
5,則,規則,きそく
5,測,測る,はかる
5,属,金属,きんぞく
5,率,効率,こうりつ
5,損,損する,そんする
5,貸,貸す,かす
5,態,態度,たいど
5,団,集団,しゅうだん
5,断,断る,ことわる
5,築,建築,けんちく
5,貯,貯金,ちょきん
5,張,主張,しゅちょう
5,停,停止,ていし
5,提,提出,ていしゅつ
5,程,程度,ていど
5,適,適する,てきする
5,統,統一,とういつ
5,堂,食堂,しょくどう
5,銅,銅像,どうぞう
5,導,指導,しどう
5,得,得意,とくい
5,毒,毒,どく
5,独,独り,ひとり
5,任,任せる,まかせる
5,燃,燃える,もえる
5,能,可能,かのう
5,破,破れる,やぶれる
5,犯,犯人,はんにん
5,判,判断,はんだん
5,版,出版,しゅっぱん
5,比,比べる,くらべる
5,肥,肥料,ひりょう
5,非,非常,ひじょう
5,費,費用,ひよう
5,備,準備,じゅんび
5,評,評判,ひょうばん
5,貧,貧しい,まずしい
5,布,毛布,もうふ
5,婦,主婦,しゅふ
5,武,武士,ぶし
5,復,回復,かいふく
5,複,複数,ふくすう
5,仏,仏,ほとけ
5,粉,粉,こな
5,編,編集,へんしゅう
5,弁,弁当,べんとう
5,保,保つ,たもつ
5,墓,お墓,おはか
5,報,天気予報,てんきよほう
5,豊,豊か,ゆたか
5,防,予防,よぼう
5,貿,貿易,ぼうえき
5,暴,暴れる,あばれる
5,脈,山脈,さんみゃく
5,務,義務,ぎむ
5,夢,夢,ゆめ
5,迷,迷う,まよう
5,綿,綿,わた
5,輸,輸出,ゆしゅつ
5,余,余る,あまる
5,容,内容,ないよう
5,略,省略,しょうりゃく
5,留,留守,るす
5,領,領土,りょうど
5,歴,歴史,れきし
