grade,kanji,word,reading
6,胃,胃,い
6,異,異なる,ことなる
6,遺,遺産,いさん
6,域,地域,ちいき
6,宇,宇宙,うちゅう
6,映,映画,えいが
6,延,延びる,のびる
6,沿,沿岸,えんがん
6,恩,恩人,おんじん
6,我,我が家,わがや
6,灰,灰,はい
6,拡,拡大,かくだい
6,革,改革,かいかく
6,閣,内閣,ないかく
6,割,割る,わる
6,株,株,かぶ
6,干,干す,ほす
6,巻,巻く,まく
6,看,看護師,かんごし
6,簡,簡単,かんたん
6,危,危ない,あぶない
6,机,机,つくえ
6,揮,発揮,はっき
6,貴,貴重,きちょう
6,疑,疑う,うたがう
6,吸,呼吸,こきゅう
6,供,子供,こども
6,胸,胸,むね
6,郷,故郷,こきょう
6,勤,勤める,つとめる
6,筋,筋肉,きんにく
6,系,太陽系,たいようけい
6,敬,尊敬,そんけい
6,警,警察,けいさつ
6,劇,劇場,げきじょう
6,激,激しい,はげしい
6,穴,穴,あな
6,券,入場券,にゅうじょうけん
6,絹,絹,きぬ
6,権,権利,けんり
6,憲,憲法,けんぽう
6,源,水源,すいげん
6,厳,厳しい,きびしい
6,己,自己,じこ
6,呼,呼ぶ,よぶ
6,誤,誤る,あやまる
6,后,皇后,こうごう
6,孝,親孝行,おやこうこう
6,皇,天皇,てんのう
6,紅,紅葉,こうよう
6,降,降りる,おりる
6,鋼,鋼鉄,こうてつ
6,刻,時刻,じこく
6,穀,穀物,こくもつ
6,骨,骨,ほね
6,困,困る,こまる
6,砂,砂,すな
6,座,座る,すわる
6,済,済む,すむ
6,裁,裁判,さいばん
6,策,対策,たいさく
6,冊,一冊,いっさつ
6,蚕,蚕,かいこ
6,至,至る,いたる
6,私,私,わたし
6,姿,姿,すがた
6,視,視力,しりょく
6,詞,歌詞,かし
6,誌,雑誌,ざっし
6,磁,磁石,じしゃく
6,射,注射,ちゅうしゃ
6,捨,捨てる,すてる
6,尺,尺,しゃく
6,若,若い,わかい
6,樹,樹木,じゅもく
6,収,収入,しゅうにゅう
6,宗,宗教,しゅうきょう
6,就,就職,しゅうしょく
6,衆,大衆,たいしゅう
6,従,従う,したがう
6,縦,縦,たて
6,縮,縮む,ちぢむ
6,熟,熟す,じゅくす
6,純,単純,たんじゅん
6,処,処理,しょり
6,署,消防署,しょうぼうしょ
6,諸,諸島,しょとう
6,除,除く,のぞく
6,承,承知,しょうち
6,将,将来,しょうらい
6,傷,傷,きず
6,障,故障,こしょう
6,蒸,蒸気,じょうき
6,針,針,はり
6,仁,仁,じん
6,垂,垂れる,たれる
6,推,推理,すいり
6,寸,寸法,すんぽう
6,盛,盛る,もる
6,聖,神聖,しんせい
6,誠,誠実,せいじつ
6,舌,舌,した
6,宣,宣言,せんげん
6,専,専門,せんもん
6,泉,温泉,おんせん
6,洗,洗う,あらう
6,染,染める,そめる
6,銭,金銭,きんせん
6,善,善い,よい
6,奏,演奏,えんそう
6,窓,窓,まど
6,創,創作,そうさく
6,装,服装,ふくそう
6,層,地層,ちそう
6,操,体操,たいそう
6,蔵,冷蔵庫,れいぞうこ
6,臓,心臓,しんぞう
6,存,存在,そんざい
6,尊,尊敬,そんけい
6,退,退院,たいいん
6,宅,住宅,じゅうたく
6,担,担当,たんとう
6,探,探す,さがす
6,誕,誕生日,たんじょうび
6,段,階段,かいだん
6,暖,暖かい,あたたかい
6,値,値段,ねだん
6,宙,宇宙,うちゅう
6,忠,忠実,ちゅうじつ
6,著,著者,ちょしゃ
6,庁,県庁,けんちょう
6,頂,頂上,ちょうじょう
6,腸,胃腸,いちょう
6,潮,潮風,しおかぜ
6,賃,家賃,やちん
6,痛,痛い,いたい
6,敵,敵,てき
6,展,展覧会,てんらんかい
6,討,検討,けんとう
6,党,政党,せいとう
6,糖,砂糖,さとう
6,届,届く,とどく
6,難,難しい,むずかしい
6,乳,牛乳,ぎゅうにゅう
6,認,確認,かくにん
6,納,納める,おさめる
6,脳,頭脳,ずのう
6,派,派手,はで
6,拝,拝む,おがむ
6,背,背,せ
6,肺,肺,はい
6,俳,俳句,はいく
6,班,班長,はんちょう
6,晩,今晩,こんばん
6,否,否定,ひてい
6,批,批評,ひひょう
6,秘,秘密,ひみつ
6,俵,土俵,どひょう
6,腹,お腹,おなか
6,奮,興奮,こうふん
6,並,並ぶ,ならぶ
6,陛,陛下,へいか
6,閉,閉じる,とじる
6,片,片方,かたほう
6,補,補う,おぎなう
6,暮,暮らす,くらす
6,宝,宝物,たからもの
6,訪,訪れる,おとずれる
6,亡,亡くなる,なくなる
6,忘,忘れる,わすれる
6,棒,棒,ぼう
6,枚,一枚,いちまい
6,幕,幕,まく
6,密,秘密,ひみつ
6,盟,同盟,どうめい
6,模,模型,もけい
6,訳,通訳,つうやく
6,郵,郵便,ゆうびん
6,優,優しい,やさしい
6,預,預ける,あずける
6,幼,幼い,おさない
6,欲,欲しい,ほしい
6,翌,翌日,よくじつ
6,乱,混乱,こんらん
6,卵,卵,たまご
6,覧,展覧会,てんらんかい
6,裏,裏,うら
6,律,規律,きりつ
6,臨,臨海学校,りんかいがっこう
6,朗,朗読,ろうどく
6,論,議論,ぎろん
